user_id,round,run_id,timestamp,posts_exact_match_rate,posts_semantic_similarity,posts_content_accuracy,posts_format_compliance,posts_exact_matches,posts_total_samples,replies_mean_rouge1,replies_mean_bleu,replies_mean_bertscore_f1,condition
1.1782932009073132e+18,0,baseline__no_persona_20250912_160228,,0.0,0.716033102273941,0.7995798695087433,0.45199999999999996,0,25,0.06644557202377015,0.0,0.8021879124641419,_no_persona_20250912_160228
17813513.0,0,baseline__no_persona_20250912_160228,,0.0,0.7944076466560364,0.9192773723602294,0.488,0,25,0.0409339867523439,0.0,0.8025887060165405,_no_persona_20250912_160228
1.4204222245914296e+18,0,baseline__no_persona_20250912_160228,,0.0,0.6327488386631012,0.691022629737854,0.44,0,25,0.04588097641734242,0.0,0.7911830949783325,_no_persona_20250912_160228
302225782.0,0,baseline__no_persona_20250912_160228,,0.0,0.5750726994872093,0.6222047531604766,0.44199999999999995,0,25,0.06870073453396046,0.0,0.8015500569343567,_no_persona_20250912_160228
1.0679687024008764e+18,0,baseline__no_persona_20250912_160228,,0.0,0.759572527743876,0.8494406461715698,0.446,0,25,0.09507350517160541,0.0,0.8024754381179809,_no_persona_20250912_160228
38283342.0,0,baseline__no_persona_20250912_160228,,0.04,0.7102389562129975,0.7967687284946442,0.484,1,25,0.06800766910062044,0.0,0.8047414612770081,_no_persona_20250912_160228
1390669327.0,0,baseline__no_persona_20250912_160228,,0.04,0.8436586546897888,0.9483899140357971,0.534,1,25,0.08549535177518498,0.0,0.8036182832717895,_no_persona_20250912_160228
1.4045329932266865e+18,0,baseline__no_persona_20250912_160228,,0.0,0.6312029325962066,0.7310610401630402,0.46199999999999997,0,25,0.06117988487159548,0.0,0.805362708568573,_no_persona_20250912_160228
1.063839405977338e+18,0,baseline__no_persona_20250912_160228,,0.0,0.8265146708488464,0.9159779858589172,0.528,0,25,0.10722213138856464,0.0,0.8003029990196228,_no_persona_20250912_160228
1.168793622248067e+18,0,baseline__no_persona_20250912_160228,,0.0,0.8723979806900024,1.0,0.54,0,25,0.02729105557090179,0.0,0.7963375616073608,_no_persona_20250912_160228
1.05272263315268e+18,0,baseline__no_persona_20250912_160228,,0.0,0.6249106256663799,0.6721131753921509,0.466,0,25,0.04705999822197841,0.0,0.8069602298736572,_no_persona_20250912_160228
527526077.0,0,baseline__no_persona_20250912_160228,,0.0,0.7077423238754272,0.8017568945884704,0.45399999999999996,0,25,0.0676149945028111,0.0,0.7983873915672303,_no_persona_20250912_160228
409824643.0,0,baseline__no_persona_20250912_160228,,0.0,0.8011931240558624,0.9001285433769226,0.5539999999999999,0,25,0.086360331416607,0.0,0.8038632106781006,_no_persona_20250912_160228
1362828098.0,0,baseline__no_persona_20250912_160228,,0.0,0.6878134644031525,0.7891208469867707,0.424,0,25,0.06656570884435496,0.0,0.8017932629585266,_no_persona_20250912_160228
8.840833612953354e+17,0,baseline__no_persona_20250912_160228,,0.0,0.7668431901931763,0.878114960193634,0.482,0,25,0.08044532453567506,0.0,0.8052968835830688,_no_persona_20250912_160228
3225632674.0,0,baseline__no_persona_20250912_160228,,0.0,0.6489960032701493,0.7436072814464569,0.434,0,25,0.03804250656202918,0.0,0.7902545356750488,_no_persona_20250912_160228
16862150.0,0,baseline__no_persona_20250912_160228,,0.0,0.7882152104377746,0.8901985788345337,0.49,0,25,0.10457945423781165,0.0,0.8099238920211792,_no_persona_20250912_160228
157516153.0,0,baseline__no_persona_20250912_160228,,0.0,0.7278990232944489,0.8199097394943238,0.486,0,25,0.0352304240546819,0.0,0.8039900374412536,_no_persona_20250912_160228
1.470492384274309e+18,0,baseline__no_persona_20250912_160228,,0.04,0.8106157350540161,0.9036658644676209,0.482,1,25,0.054930867164274096,0.005385898168032933,0.8080324649810791,_no_persona_20250912_160228
3138390312.0,0,baseline__no_persona_20250912_160228,,0.04,0.7261463293433189,0.7769898271560669,0.434,1,25,0.04541109861278217,0.0,0.7922546815872192,_no_persona_20250912_160228
2570955294.0,0,baseline__no_persona_20250912_160228,,0.0,0.507900487780571,0.5122427761554718,0.426,0,25,0.03700771185299349,0.0,0.7977605319023132,_no_persona_20250912_160228
1.5743066908578488e+18,0,baseline__no_persona_20250912_160228,,0.0,0.8340186035633087,0.9534029495716095,0.482,0,25,0.10088582395738097,0.0,0.8157394528388977,_no_persona_20250912_160228
1.2133059545208463e+18,0,baseline__no_persona_20250912_160228,,0.0,0.6790640521049499,0.7613292646408081,0.46399999999999997,0,25,0.07940761777090383,0.0,0.8069068503379822,_no_persona_20250912_160228
1.1782932009073132e+18,0,baseline__generic_20250912_160228,,0.0,0.6680961847305298,0.7237594223022461,0.474,0,25,0.0670856169220743,0.0,0.7962007737159729,_generic_20250912_160228
17813513.0,0,baseline__generic_20250912_160228,,0.0,0.7188119411468505,0.8166032946109771,0.452,0,25,0.05217247755329257,0.0,0.7999051117897034,_generic_20250912_160228
1.4204222245914296e+18,0,baseline__generic_20250912_160228,,0.0,0.6163931858539581,0.6616482222080231,0.45399999999999996,0,25,0.03472705689087539,0.0,0.7863918614387512,_generic_20250912_160228
302225782.0,0,baseline__generic_20250912_160228,,0.0,0.4957835179567337,0.5103801298141479,0.414,0,25,0.06142875868313395,0.0,0.799767119884491,_generic_20250912_160228
1.0679687024008764e+18,0,baseline__generic_20250912_160228,,0.0,0.6508055165410042,0.7486423790454865,0.412,0,25,0.1006435127234981,0.0,0.7990299773216247,_generic_20250912_160228
